uhn	draft	vote	urban	gender	age	party
9801	"CRC draft"	"Vote against"	"Rural"	"Male"	39	"ccm"
9802	"Final draft"	"Vote against"	"Rural"	"Male"	26	"chadema"
9803	"Final draft"	"Vote for"	"Rural"	"Male"	26	"chadema"
9805	"CRC draft"	"I am not going to vote"	"Rural"	"Female"	23	"ccm"
9806	"Don't Know"	"I am not going to vote"	"Rural"	"Male"	52	"ccm"
9807	"Final draft"	"Vote for"	"Rural"	"Female"	39	"ccm"
9808	"CRC draft"	"Vote against"	"Rural"	"Male"	28	"ccm"
9901	"CRC draft"	"Vote against"	"Rural"	"Female"	24	
9902	"Final draft"	"I am not going to vote"	"Rural"	"Male"	40	"ccm"
9904	"Final draft"	"Vote for"	"Rural"	"Male"	22	"ccm"
9907	"Don't Know"	"Vote for"	"Rural"	"Male"	43	"chadema"
9908	"Final draft"	"Not sure"	"Rural"	"Female"	33	"ccm"
9909	"Final draft"	"Vote against"	"Rural"	"Male"	40	"ccm"
9910	"None"	"Not sure"	"Rural"	"Male"	45	"ccm"
9911	"Final draft"	"Vote for"	"Rural"	"Male"	35	"ccm"
10001	"CRC draft"	"Vote for"	"Rural"	"Male"	43	"ccm"
10002	"CRC draft"	"Vote for"	"Rural"	"Male"	42	"ccm"
10003	"Final draft"	"Vote for"	"Rural"	"Female"	29	"ccm"
10005	"CRC draft"	"Vote against"	"Rural"	"Male"	19	"ccm"
10006	"Final draft"	"Vote for"	"Rural"	"Female"	30	"chadema"
10007	"Don't Know"	"Vote against"	"Rural"	"Female"	30	"ccm"
10008	"Final draft"	"Vote against"	"Rural"	"Female"	31	" none"
10009	"None"	"Vote against"	"Rural"	"Male"	40	"ccm"
10010	"Final draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
10101	"CRC draft"	"Vote for"	"Urban"	"Female"	22	"i don't"
10102	"Final draft"	"Not sure"	"Urban"	"Female"	33	
10103	"CRC draft"	"Vote for"	"Urban"	"Female"	49	"ccm"
10104	"Final draft"	"Vote against"	"Urban"	"Female"	37	"ccm"
10106	"Final draft"	"Vote for"	"Urban"	"Male"	47	"chadema"
10107	"CRC draft"	"Vote against"	"Urban"	"Female"	32	"ccm"
10109	"None"	"Not sure"	"Urban"	"Male"	25	"chadema"
10110	"Final draft"	"Vote for"	"Urban"	"Male"	55	"chadema"
10201	"CRC draft"	"Vote against"	"Rural"	"Male"	50	"ccm"
10202	"CRC draft"	"Not sure"	"Rural"	"Male"	47	"ccm"
10205	"Final draft"	"Vote against"	"Rural"	"Female"	33	" none"
10206	"Final draft"	"Vote for"	"Rural"	"Male"	23	"chadema"
10207	"CRC draft"	"Vote against"	"Rural"	"Female"	40	"ccm"
10209	"Final draft"	"Not sure"	"Rural"	"Male"	42	"ccm"
10210	"Final draft"	"Vote for"	"Rural"	"Male"	45	"ccm"
10212	"Final draft"	"Not sure"	"Rural"	"Female"	30	
10303	"Don't Know"	"Not sure"	"Rural"	"Male"	42	
10304	"Final draft"	"Vote against"	"Rural"	"Male"	23	
10305	"Final draft"	"Vote for"	"Rural"	"Male"	30	
10307	"Final draft"	"Vote against"	"Rural"	"Male"	48	"ccm"
10308	"CRC draft"	"Vote for"	"Rural"	"Male"	52	
10309	"Final draft"	"Vote for"	"Rural"	"Male"	34	"ccm"
10402	"Final draft"	"Vote against"	"Rural"	"Female"	36	" none"
10404	"Final draft"	"Vote for"	"Rural"	"Female"	30	
10406	"Final draft"	"Vote for"	"Rural"	"Female"	31	"ccm"
10407	"Final draft"	"Vote for"	"Rural"	"Male"	31	
10408	"CRC draft"	"Vote for"	"Rural"	"Male"	52	"chadema"
10409	"CRC draft"	"Vote against"	"Rural"	"Male"	56	"ccm"
10410	"CRC draft"	"Vote for"	"Rural"	"Male"	58	"ccm"
10411	"CRC draft"	"Vote against"	"Rural"	"Male"	76	"ccm"
10501	"CRC draft"	"Vote for"	"Rural"	"Male"	36	"ccm"
10502	"Final draft"	"Vote for"	"Rural"	"Male"	46	"ccm"
10506	"Don't Know"	"Not sure"	"Rural"	"Female"	32	"ccm"
10507	"Final draft"	"Vote for"	"Rural"	"Male"	33	"ccm"
10508	"Final draft"	"Vote against"	"Rural"	"Male"	44	"ccm"
10509	"CRC draft"	"Don't Know"	"Rural"	"Female"	32	"ccm"
10512	"CRC draft"	"Vote against"	"Rural"	"Male"	47	"ccm"
10601	"Final draft"	"Vote for"	"Urban"	"Female"	22	" refused"
10602	"Final draft"	"I am not going to vote"	"Urban"	"Male"	40	"ccm"
10603	"CRC draft"	"Vote for"	"Urban"	"Male"	50	"chadema"
10604	"Don't Know"	"Vote against"	"Urban"	"Male"	60	"ccm"
10605	"Don't Know"	"Not sure"	"Urban"	"Female"	50	"ccm"
10606	"Final draft"	"Vote for"	"Urban"	"Female"	50	"chadema"
10607	"Final draft"	"Vote for"	"Urban"	"Male"	66	"chadema"
10609	"Don't Know"	"Not sure"	"Urban"	"Female"	44	"chadema"
10610	"Final draft"	"Vote against"	"Urban"	"Male"	44	"chadema"
10701	"Final draft"	"Not sure"	"Rural"	"Male"	34	"ccm"
10702	"CRC draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
10703	"Final draft"	"Vote against"	"Rural"	"Male"	35	"ccm"
10704	"CRC draft"	"Vote against"	"Rural"	"Male"	42	"ccm"
10705	"CRC draft"	"Not sure"	"Rural"	"Female"	30	"ccm"
10706	"CRC draft"	"Not sure"	"Rural"	"Female"	31	"ccm"
10707	"Final draft"	"Vote for"	"Rural"	"Male"	60	"ccm"
10708	"CRC draft"	"Vote against"	"Rural"	"Male"	31	"ccm"
10709	"CRC draft"	"Vote against"	"Rural"	"Male"	36	"ccm"
10710	"CRC draft"	"Vote for"	"Rural"	"Male"	41	"ccm"
10801	"Don't Know"	"Not sure"	"Rural"	"Male"	53	"ccm"
10803	"Final draft"	"Vote against"	"Rural"	"Male"	39	"ccm"
10804	"Don't Know"	"Vote against"	"Rural"	"Male"	31	" none"
10805	"Final draft"	"Vote for"	"Rural"	"Male"	44	"ccm"
10806	"CRC draft"	"Vote for"	"Rural"	"Male"	28	"chadema"
10807	"Don't Know"	"I am not going to vote"	"Rural"	"Female"	46	" none"
10808	"Final draft"	"Vote for"	"Rural"	"Male"	51	"ccm"
10809	"Don't Know"	"Vote for"	"Rural"	"Female"	24	"chadema"
10810	"None"	"I am not going to vote"	"Rural"	"Male"	54	"chadema"
10901	"CRC draft"	"Vote against"	"Rural"	"Female"	49	"ccm"
10902	"Final draft"	"Vote for"	"Rural"	"Female"	38	"ccm"
10903	"CRC draft"	"Don't Know"	"Rural"	"Female"	47	
10904	"CRC draft"	"Not sure"	"Rural"	"Male"	38	"ccm"
10905	"Final draft"	"Vote for"	"Rural"	"Male"	44	"chadema"
10907	"Final draft"	"I am not going to vote"	"Rural"	"Male"	27	"chadema"
10908	"Final draft"	"Vote for"	"Rural"	"Male"	57	"i don't"
10909	"Don't Know"	"Not sure"	"Rural"	"Male"	59	"ccm"
10910	"CRC draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
11004	"Final draft"	"I am not going to vote"	"Rural"	"Male"	50	"ccm"
11006	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	45	"ccm"
11007	"None"	"Not sure"	"Rural"	"Male"	40	"ccm"
11008	"Final draft"	"Vote for"	"Rural"	"Male"	70	"ccm"
11009	"Don't Know"	"Don't Know"	"Rural"	"Male"	36	"ccm"
11010	"Final draft"	"Vote for"	"Rural"	"Male"	35	"tlp"
11011	"CRC draft"	"Vote against"	"Rural"	"Female"	32	"chadema"
11101	"Final draft"	"Vote for"	"Rural"	"Male"	39	"ccm"
11102	"CRC draft"	"Not sure"	"Rural"	"Male"	44	"ccm"
11103	"Final draft"	"Vote for"	"Rural"	"Male"	55	"ccm"
11104	"Final draft"	"Vote against"	"Rural"	"Male"	42	"ccm"
11105	"Final draft"	"Vote for"	"Rural"	"Female"	34	"ccm"
11106	"Don't Know"	"Vote for"	"Rural"	"Male"	27	
11107	"Don't Know"	"Not sure"	"Rural"	"Male"	25	"ccm"
11108	"CRC draft"	"Vote for"	"Rural"	"Male"	46	"ccm"
11109	"CRC draft"	"Vote for"	"Rural"	"Female"	32	" none"
11201	"Final draft"	"Vote for"	"Urban"	"Female"	23	"chadema"
11202	"Final draft"	"Vote for"	"Urban"	"Female"	22	"chadema"
11205	"Final draft"	"Vote for"	"Urban"	"Female"	54	" refused"
11207	"CRC draft"	"Vote against"	"Urban"	"Male"	43	"ccm"
11208	"CRC draft"	"Vote for"	"Urban"	"Male"	44	"ccm"
11209	"Don't Know"	"Don't Know"	"Urban"	"Male"	49	"chadema"
11305	"Final draft"	"Vote against"	"Urban"	"Female"	41	"i don't"
11306	"CRC draft"	"Vote for"	"Urban"	"Male"	18	"ccm"
11308	"Don't Know"	"Don't Know"	"Urban"	"Female"	24	"ccm"
11309	"CRC draft"	"Vote against"	"Urban"	"Female"	55	" none"
11402	"Don't Know"	"Not sure"	"Urban"	"Female"	21	"ccm"
11407	"CRC draft"	"Vote against"	"Urban"	"Female"	27	" none"
11408	"Don't Know"	"Don't Know"	"Urban"	"Female"	43	"chadema"
11410	"Don't Know"	"Not sure"	"Urban"	"Female"	27	
11411	"None"	"Not sure"	"Urban"	"Male"	29	" none"
11502	"Final draft"	"Vote for"	"Urban"	"Male"	41	"chadema"
11503	"Final draft"	"Vote for"	"Urban"	"Female"	26	"chadema"
11505	"CRC draft"	"Vote against"	"Urban"	"Female"	34	"ccm"
11506	"Final draft"	"Vote for"	"Urban"	"Male"	20	"chadema"
11507	"None"	"Not sure"	"Urban"	"Male"	36	"chadema"
11509	"Don't Know"	"Don't Know"	"Urban"	"Female"	27	"nccr-mag"
11510	"CRC draft"	"Vote for"	"Urban"	"Female"	60	" none"
11512	"Don't Know"	"Vote against"	"Urban"	"Male"	25	"chadema"
11601	"CRC draft"	"Vote against"	"Rural"	"Male"	47	"ccm"
11602	"Final draft"	"Vote for"	"Rural"	"Male"	35	"chadema"
11605	"Final draft"	"Vote for"	"Rural"	"Male"	59	"ccm"
11606	"CRC draft"	"Vote for"	"Rural"	"Male"	49	
11607	"Final draft"	"Vote against"	"Rural"	"Female"	27	" none"
11608	"Don't Know"	"Vote for"	"Rural"	"Female"	36	"ccm"
11609	"CRC draft"	"Vote for"	"Rural"	"Female"	22	"ccm"
11701	"Final draft"	"Not sure"	"Rural"	"Male"	47	"ccm"
11702	"CRC draft"	"Vote against"	"Rural"	"Male"	81	"ccm"
11703	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	46	"ccm"
11704	"Don't Know"	"Vote for"	"Rural"	"Male"	44	"ccm"
11705	"Final draft"	"Not sure"	"Rural"	"Male"	29	"ccm"
11707	"Final draft"	"Vote for"	"Rural"	"Male"	72	"ccm"
11708	"Final draft"	"Not sure"	"Rural"	"Male"	48	"chadema"
11710	"CRC draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
11711	"CRC draft"	"Vote for"	"Rural"	"Male"	42	"ccm"
11712	"Don't Know"	"Vote against"	"Rural"	"Male"	62	"ccm"
11802	"Final draft"	"Vote for"	"Urban"	"Male"	39	"ccm"
11803	"CRC draft"	"Vote against"	"Urban"	"Female"	65	"chadema"
11806	"CRC draft"	"Not sure"	"Urban"	"Male"	38	"ccm"
11807	"CRC draft"	"Vote for"	"Urban"	"Female"	29	"chadema"
11809	"CRC draft"	"Vote against"	"Urban"	"Male"	33	"ccm"
11810	"Don't Know"	"I am not going to vote"	"Urban"	"Female"	23	"ccm"
11902	"CRC draft"	"Vote for"	"Rural"	"Female"	62	"ccm"
11905	"CRC draft"	"Vote for"	"Rural"	"Male"	80	"ccm"
11907	"Final draft"	"Vote for"	"Rural"	"Male"	45	"ccm"
11908	"Final draft"	"Vote against"	"Rural"	"Male"	56	"chadema"
11909	"Final draft"	"Vote for"	"Rural"	"Male"	40	"chadema"
11910	"CRC draft"	"Vote for"	"Rural"	"Male"	52	"ccm"
12001	"Don't Know"	"Don't Know"	"Rural"	"Female"	46	"ccm"
12002	"Don't Know"	"Not sure"	"Rural"	"Male"	42	" none"
12005	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	42	"chadema"
12006	"CRC draft"	"Vote for"	"Rural"	"Male"	58	"ccm"
12008	"CRC draft"	"Vote against"	"Rural"	"Female"	42	
12101	"CRC draft"	"Vote against"	"Rural"	"Male"	25	"chadema"
12102	"Don't Know"	"Not sure"	"Rural"	"Male"	45	"ccm"
12104	"CRC draft"	"Vote against"	"Rural"	"Female"	29	"ccm"
12107	"CRC draft"	"Vote for"	"Rural"	"Male"	37	
12108	"Final draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
12110	"Final draft"	"Vote for"	"Rural"	"Female"	23	" none"
12111	"CRC draft"	"Vote for"	"Rural"	"Male"	42	"chadema"
12112	"Final draft"	"Vote for"	"Rural"	"Male"	38	"ccm"
12202	"CRC draft"	"Vote against"	"Urban"	"Male"	38	"chadema"
12203	"Final draft"	"Vote for"	"Urban"	"Female"	45	"chadema"
12204	"CRC draft"	"Vote against"	"Urban"	"Male"	50	"ccm"
12205	"Final draft"	"Vote against"	"Urban"	"Male"	63	"chadema"
12206	"CRC draft"	"Vote for"	"Urban"	"Female"	60	"cuf"
12207	"CRC draft"	"Vote against"	"Urban"	"Female"	38	"ccm"
12208	"CRC draft"	"Vote against"	"Urban"	"Female"	46	"ccm"
12209	"Final draft"	"Vote for"	"Urban"	"Male"	27	"chadema"
12210	"Don't Know"	"Don't Know"	"Urban"	"Female"	44	"ccm"
12301	"Final draft"	"Vote for"	"Rural"	"Male"	34	"chadema"
12302	"CRC draft"	"Vote against"	"Rural"	"Male"	18	
12305	"Final draft"	"Vote against"	"Rural"	"Female"	26	" refused"
12306	"Final draft"	"Vote for"	"Rural"	"Female"	49	"ccm"
12307	"Final draft"	"Vote for"	"Rural"	"Male"	32	"chadema"
12308	"Don't Know"	"Vote for"	"Rural"	"Male"	66	"ccm"
12309	"Don't Know"	"Vote for"	"Rural"	"Male"	20	"ccm"
12310	"Final draft"	"Vote for"	"Rural"	"Female"	46	"chadema"
12403	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	28	
12404	"Final draft"	"Vote for"	"Rural"	"Female"	25	"ccm"
12405	"Don't Know"	"Vote for"	"Rural"	"Female"	30	"ccm"
12406	"Final draft"	"Vote for"	"Rural"	"Male"	45	"ccm"
12407	"Final draft"	"Vote against"	"Rural"	"Male"	50	"ccm"
12408	"Final draft"	"Vote against"	"Rural"	"Male"	52	"ccm"
12409	"CRC draft"	"Not sure"	"Rural"	"Male"	89	"ccm"
12501	"Final draft"	"Not sure"	"Rural"	"Male"	35	
12504	"None"	"Not sure"	"Rural"	"Male"	33	"ccm"
12505	"Don't Know"	"Not sure"	"Rural"	"Male"	55	"chadema"
12510	"Final draft"	"Vote for"	"Rural"	"Female"	75	"ccm"
12511	"CRC draft"	"Not sure"	"Rural"	"Female"	39	
12601	"CRC draft"	"Vote for"	"Rural"	"Male"	52	"cuf"
12603	"CRC draft"	"Vote for"	"Rural"	"Male"	33	"chadema"
12605	"CRC draft"	"Vote against"	"Rural"	"Male"	40	"ccm"
12606	"Final draft"	"Not sure"	"Rural"	"Female"	37	"i don't"
12610	"Final draft"	"Not sure"	"Rural"	"Female"	18	"chadema"
12612	"CRC draft"	"Vote against"	"Rural"	"Female"	20	
12701	"Final draft"	"Vote for"	"Rural"	"Female"	44	
12702	"CRC draft"	"Vote against"	"Rural"	"Female"	45	"ccm"
12703	"CRC draft"	"Vote against"	"Rural"	"Male"	27	"chadema"
12704	"CRC draft"	"Vote against"	"Rural"	"Female"	32	
12707	"CRC draft"	"Not sure"	"Rural"	"Male"	29	"ccm"
12708	"CRC draft"	"Vote against"	"Rural"	"Female"	49	
12710	"CRC draft"	"Vote for"	"Rural"	"Male"	23	"ccm"
12801	"Final draft"	"Vote for"	"Rural"	"Male"	52	"chadema"
12803	"CRC draft"	"Vote against"	"Rural"	"Male"	26	"ccm"
12805	"CRC draft"	"Vote for"	"Rural"	"Female"	30	
12808	"CRC draft"	"Not sure"	"Rural"	"Male"	48	"ccm"
12904	"Don't Know"	"Vote against"	"Urban"	"Male"	45	"ccm"
12906	"Don't Know"	"Vote for"	"Urban"	"Female"	43	"ccm"
12912	"Final draft"	"Vote against"	"Urban"	"Female"	51	"ccm"
13001	"CRC draft"	"Vote for"	"Rural"	"Male"	24	"chadema"
13005	"CRC draft"	"I am not going to vote"	"Rural"	"Female"	38	"chadema"
13006	"CRC draft"	"Vote for"	"Rural"	"Male"	59	"ccm"
13010	"CRC draft"	"Vote for"	"Rural"	"Male"	38	"ccm"
13204	"Don't Know"	"Not sure"	"Urban"	"Female"	29	"chadema"
13206	"Final draft"	"I am not going to vote"	"Urban"	"Male"	42	"ccm"
13208	"Don't Know"	"Vote against"	"Urban"	"Female"	27	"ccm"
13209	"CRC draft"	"Vote against"	"Urban"	"Female"	38	"ccm"
13301	"Final draft"	"Vote for"	"Urban"	"Male"	26	"chadema"
13305	"CRC draft"	"Vote for"	"Urban"	"Male"	24	
13306	"Final draft"	"Vote against"	"Urban"	"Male"	45	
13310	"Final draft"	"Vote for"	"Urban"	"Male"	24	
13402	"Final draft"	"Don't Know"	"Urban"	"Male"	58	"ccm"
13403	"Don't Know"	"Vote for"	"Urban"	"Female"	43	
13404	"CRC draft"	"Vote for"	"Urban"	"Female"	20	
13408	"Don't Know"	"Vote for"	"Urban"	"Male"	35	"chadema"
13409	"None"	"Vote against"	"Urban"	"Female"	38	"ccm"
13410	"CRC draft"	"Vote for"	"Urban"	"Female"	21	
13502	"Final draft"	"Vote for"	"Rural"	"Female"	50	"ccm"
13506	"Final draft"	"Vote against"	"Rural"	"Male"	25	"ccm"
13510	"CRC draft"	"Vote against"	"Rural"	"Male"	22	"ccm"
13601	"CRC draft"	"Vote against"	"Rural"	"Male"	18	"chadema"
13602	"Final draft"	"Vote for"	"Rural"	"Female"	33	"ccm"
13603	"Final draft"	"Vote for"	"Rural"	"Male"	26	"chadema"
13604	"CRC draft"	"Not sure"	"Rural"	"Male"	35	"chadema"
13606	"CRC draft"	"Vote against"	"Rural"	"Male"	44	"ccm"
13607	"Final draft"	"Not sure"	"Rural"	"Male"	21	" none"
13608	"CRC draft"	"I am not going to vote"	"Rural"	"Female"	52	"ccm"
13701	"CRC draft"	"Not sure"	"Rural"	"Female"	32	"ccm"
13703	"Don't Know"	"Vote against"	"Rural"	"Male"	60	"ccm"
13708	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	52	"chadema"
13712	"Final draft"	"Vote for"	"Rural"	"Male"	55	"ccm"
13801	"None"	"Not sure"	"Rural"	"Male"	26	"chadema"
13803	"Final draft"	"Vote for"	"Rural"	"Male"	50	" none"
13804	"CRC draft"	"Vote against"	"Rural"	"Male"	30	" none"
13805	"Final draft"	"Not sure"	"Rural"	"Male"	27	"chadema"
13806	"CRC draft"	"Vote for"	"Rural"	"Male"	60	"ccm"
13808	"Final draft"	"Vote against"	"Rural"	"Male"	47	"ccm"
13809	"None"	"Not sure"	"Rural"	"Female"	30	
13812	"Don't Know"	"Vote for"	"Rural"	"Male"	91	"ccm"
13902	"CRC draft"	"Don't Know"	"Urban"	"Female"	65	"ccm"
13904	"CRC draft"	"Don't Know"	"Urban"	"Female"	22	
13905	"Final draft"	"Vote for"	"Urban"	"Male"	70	
13906	"CRC draft"	"Vote for"	"Urban"	"Male"	32	" none"
13907	"Final draft"	"Vote for"	"Urban"	"Male"	18	" refused"
14004	"Final draft"	"Vote for"	"Rural"	"Female"	32	"ccm"
14006	"CRC draft"	"Vote against"	"Rural"	"Male"	37	" none"
14102	"Final draft"	"Not sure"	"Rural"	"Male"	28	"chadema"
14103	"CRC draft"	"Vote for"	"Rural"	"Male"	51	"i don't"
14104	"Final draft"	"Not sure"	"Rural"	"Female"	20	
14105	"Final draft"	"Not sure"	"Rural"	"Male"	48	"i don't"
14106	"None"	"Vote for"	"Rural"	"Female"	39	"ccm"
14108	"Don't Know"	"Vote for"	"Rural"	"Male"	26	
14110	"Final draft"	"Vote for"	"Rural"	"Female"	40	"ccm"
14201	"Final draft"	"Vote for"	"Rural"	"Female"	43	"chadema"
14203	"Final draft"	"Vote for"	"Rural"	"Male"	25	"chadema"
14205	"Don't Know"	"Not sure"	"Rural"	"Male"	63	"chadema"
14206	"CRC draft"	"Vote for"	"Rural"	"Male"	31	"chadema"
14208	"Final draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
14211	"CRC draft"	"Vote against"	"Rural"	"Male"	38	"chadema"
14301	"CRC draft"	"Vote against"	"Urban"	"Female"	28	
14302	"CRC draft"	"Vote against"	"Urban"	"Female"	28	"ccm"
14303	"Final draft"	"Vote for"	"Urban"	"Male"	46	"chadema"
14305	"CRC draft"	"Vote for"	"Urban"	"Female"	30	
14306	"Don't Know"	"Don't Know"	"Urban"	"Male"	37	
14307	"CRC draft"	"Vote for"	"Urban"	"Male"	36	"chadema"
14309	"CRC draft"	"Vote against"	"Urban"	"Female"	32	"ccm"
14311	"CRC draft"	"Vote against"	"Urban"	"Female"	35	"ccm"
14312	"Don't Know"	"Vote for"	"Urban"	"Male"	44	"ccm"
14402	"Final draft"	"Not sure"	"Rural"	"Male"	46	"ccm"
14405	"Final draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
14406	"Final draft"	"Vote for"	"Rural"	"Male"	27	"chadema"
14407	"Don't Know"	"I am not going to vote"	"Rural"	"Female"	55	"ccm"
14409	"CRC draft"	"Vote against"	"Rural"	"Male"	34	
14411	"CRC draft"	"Vote for"	"Rural"	"Female"	27	
14501	"Don't Know"	"Vote for"	"Rural"	"Female"	24	"ccm"
14503	"CRC draft"	"Vote for"	"Rural"	"Male"	42	"ccm"
14504	"Final draft"	"Vote for"	"Rural"	"Male"	78	"chadema"
14505	"Final draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
14506	"CRC draft"	"Vote for"	"Rural"	"Female"	19	"ccm"
14507	"Final draft"	"Vote for"	"Rural"	"Male"	18	
14508	"None"	"Vote for"	"Rural"	"Male"	28	"chadema"
14509	"CRC draft"	"Vote for"	"Rural"	"Male"	25	"chadema"
14510	"Final draft"	"Vote for"	"Rural"	"Female"	32	"ccm"
14601	"CRC draft"	"Vote for"	"Rural"	"Female"	25	
14602	"Final draft"	"Vote for"	"Rural"	"Female"	36	"ccm"
14603	"Final draft"	"Vote for"	"Rural"	"Male"	29	"ccm"
14604	"CRC draft"	"Vote for"	"Rural"	"Male"	72	"ccm"
14605	"CRC draft"	"Vote for"	"Rural"	"Female"	18	
14606	"Don't Know"	"Vote for"	"Rural"	"Female"	35	"ccm"
14607	"CRC draft"	"Vote for"	"Rural"	"Male"	37	"ccm"
14608	"Don't Know"	"Don't Know"	"Rural"	"Female"	35	"i don't"
14609	"CRC draft"	"Vote for"	"Rural"	"Female"	35	"ccm"
14610	"Final draft"	"Vote against"	"Rural"	"Male"	33	"ccm"
14701	"Don't Know"	"Vote for"	"Rural"	"Male"	56	"ccm"
14704	"CRC draft"	"Vote against"	"Rural"	"Male"	55	"ccm"
14706	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	57	"chadema"
14707	"CRC draft"	"Vote against"	"Rural"	"Male"	23	"chadema"
14708	"CRC draft"	"Vote against"	"Rural"	"Male"	26	" none"
14711	"Don't Know"	"I am not going to vote"	"Rural"	"Male"	50	"chadema"
14801	"Don't Know"	"Vote for"	"Rural"	"Female"	24	
14802	"Final draft"	"I am not going to vote"	"Rural"	"Female"	32	"chadema"
14803	"CRC draft"	"Vote against"	"Rural"	"Male"	54	"chadema"
14804	"Final draft"	"Vote for"	"Rural"	"Female"	60	"ccm"
14805	"Final draft"	"Vote for"	"Rural"	"Female"	36	"ccm"
14806	"CRC draft"	"Vote for"	"Rural"	"Male"	38	"ccm"
14807	"None"	"Not sure"	"Rural"	"Male"	30	
14808	"Final draft"	"Vote for"	"Rural"	"Male"	55	
14809	"Final draft"	"Vote for"	"Rural"	"Female"	30	"chadema"
14810	"Don't Know"	"Not sure"	"Rural"	"Male"	52	" none"
14902	"None"	"Vote for"	"Urban"	"Male"	27	"chadema"
14905	"CRC draft"	"Vote for"	"Urban"	"Female"	48	"ccm"
14906	"CRC draft"	"Vote for"	"Urban"	"Male"	30	"chadema"
14908	"CRC draft"	"Not sure"	"Urban"	"Female"	28	"chadema"
14910	"CRC draft"	"Not sure"	"Urban"	"Female"	28	"chadema"
15001	"CRC draft"	"Vote for"	"Rural"	"Female"	38	
15002	"Final draft"	"Vote for"	"Rural"	"Male"	43	"chadema"
15003	"Final draft"	"Vote against"	"Rural"	"Female"	63	"ccm"
